id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,business_hours,search_city,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address,attributes.business_temp_closed,attributes.menu_url,attributes.waitlist_reservation,attributes.open24_hours
PmHPzLNvws4DspOIWnkUUA,sub-zero-nitrogen-ice-cream-provo,Sub Zero Nitrogen Ice Cream,https://s3-media0.fl.yelpcdn.com/bphoto/bHlLp1kn_u0HodJ_S7nZAg/o.jpg,False,https://www.yelp.com/biz/sub-zero-nitrogen-ice-cream-provo?adjust_creative=6uPK8wjVDflLXcyfaLIKMA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6uPK8wjVDflLXcyfaLIKMA,53,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'desserts', 'title': 'Desserts'}]",3.4,"['delivery', 'pickup']",$,+13853752617,(385) 375-2617,1209.3798738885785,"[{'open': [{'is_overnight': False, 'start': '1200', 'end': '2230', 'day': 0}, {'is_overnight': False, 'start': '1200', 'end': '2230', 'day': 1}, {'is_overnight': False, 'start': '1200', 'end': '2230', 'day': 2}, {'is_overnight': False, 'start': '1200', 'end': '2230', 'day': 3}, {'is_overnight': False, 'start': '1200', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '2300', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': True}]","Provo, UT",40.23412154311801,-111.6596965644178,62 West Center St,,,Provo,84601,US,UT,"['62 West Center St', 'Provo, UT 84601']",,https://subzeroicecream.com,,
fmDKNQCeRNDqDVmo34yksQ,rockwell-ice-cream-provo-2,Rockwell Ice Cream,https://s3-media0.fl.yelpcdn.com/bphoto/rGvN1YzrKfPzPzh74QhR9w/o.jpg,False,https://www.yelp.com/biz/rockwell-ice-cream-provo-2?adjust_creative=6uPK8wjVDflLXcyfaLIKMA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6uPK8wjVDflLXcyfaLIKMA,383,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]",4.5,"['delivery', 'pickup']",$$,+18013185950,(801) 318-5950,1200.8865772846448,"[{'open': [{'is_overnight': False, 'start': '1500', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1500', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1500', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1500', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1500', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1300', 'end': '2300', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': True}]","Provo, UT",40.2342853187575,-111.658887314155,43 N University Ave,,,Provo,84601,US,UT,"['43 N University Ave', 'Provo, UT 84601']",,,,
yjzLBkPam1a3mLMTjL-SkQ,the-twisted-cow-provo,The Twisted Cow,https://s3-media0.fl.yelpcdn.com/bphoto/tvrTKQ5Yfui_ckg484u5lQ/o.jpg,False,https://www.yelp.com/biz/the-twisted-cow-provo?adjust_creative=6uPK8wjVDflLXcyfaLIKMA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6uPK8wjVDflLXcyfaLIKMA,29,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]",4.7,[],,+13854397548,(385) 439-7548,909.2258550755461,"[{'open': [{'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1300', 'end': '0000', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': True}]","Provo, UT",40.2370551,-111.6583871,250 N University Ave,,,Provo,84601,US,UT,"['250 N University Ave', 'Provo, UT 84601']",,https://www.thetwistedcowshakes.com/menu,,
Lhr0Wz9SHYRcQBH0hMLNyg,brooker-s-founding-flavors-ice-cream-provo,Brooker’s Founding Flavors Ice Cream,https://s3-media0.fl.yelpcdn.com/bphoto/BkD7wm-D8cROvOwNRm3s0Q/o.jpg,False,https://www.yelp.com/biz/brooker-s-founding-flavors-ice-cream-provo?adjust_creative=6uPK8wjVDflLXcyfaLIKMA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6uPK8wjVDflLXcyfaLIKMA,77,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]",4.8,"['delivery', 'pickup']",,,,1302.9227759528817,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","Provo, UT",40.24468,-111.6459,748 E 820 N,,,Provo,84606,US,UT,"['748 E 820 N', 'Provo, UT 84606']",,,,
aKniDfANeYQaTh4JQfcU6g,byu-creamery-on-ninth-provo-2,BYU Creamery on Ninth,https://s3-media0.fl.yelpcdn.com/bphoto/MbXLABvmuztPiWVmrs4V-g/o.jpg,False,https://www.yelp.com/biz/byu-creamery-on-ninth-provo-2?adjust_creative=6uPK8wjVDflLXcyfaLIKMA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6uPK8wjVDflLXcyfaLIKMA,202,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'burgers', 'title': 'Burgers'}]",4.1,['delivery'],$,+18014222663,(801) 422-2663,1614.1287449259853,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': True}]","Provo, UT",40.250117,-111.64349847176284,1209 900th E,,,Provo,84604,US,UT,"['1209 900th E', 'Provo, UT 84604']",,,,
YMKWvCeCEGsKstclokN2ag,karie-annes-provo-provo-2,Karie Annes Provo,https://s3-media0.fl.yelpcdn.com/bphoto/6KjnRAMIT4xqziDsVvwU1A/o.jpg,False,https://www.yelp.com/biz/karie-annes-provo-provo-2?adjust_creative=6uPK8wjVDflLXcyfaLIKMA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6uPK8wjVDflLXcyfaLIKMA,6,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]",5.0,[],,+18014200007,(801) 420-0007,1172.8625453179106,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': True}]","Provo, UT",40.23499,-111.66585,401 West 100 N,,,Provo,84601,US,UT,"['401 West 100 N', 'Provo, UT 84601']",,,,
hU4o87a0ZlzppEETFGIbzA,the-penguin-brothers-provo-2,The Penguin Brothers,https://s3-media0.fl.yelpcdn.com/bphoto/H8w8br0USSS2iG3ffxGdEw/o.jpg,False,https://www.yelp.com/biz/the-penguin-brothers-provo-2?adjust_creative=6uPK8wjVDflLXcyfaLIKMA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6uPK8wjVDflLXcyfaLIKMA,157,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'catering', 'title': 'Caterers'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]",4.6,"['delivery', 'pickup']",$,+18015329537,(801) 532-9537,791.1459554487316,"[{'open': [{'is_overnight': False, 'start': '1600', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1600', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1600', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1600', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1600', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1600', 'end': '0000', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': True}]","Provo, UT",40.25117292414917,-111.65678638457985,111 E Bulldog Blvd,,,Provo,84604,US,UT,"['111 E Bulldog Blvd', 'Provo, UT 84604']",,http://www.thepenguinbrothers.com/menu,,
WlRFyCOVQB7Friih33GgVw,handels-homemade-ice-cream-orem-orem-3,Handel's Homemade Ice Cream - Orem,https://s3-media0.fl.yelpcdn.com/bphoto/LFMqkLXWlKZaPFOD29KNLA/o.jpg,False,https://www.yelp.com/biz/handels-homemade-ice-cream-orem-orem-3?adjust_creative=6uPK8wjVDflLXcyfaLIKMA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6uPK8wjVDflLXcyfaLIKMA,77,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]",4.6,['delivery'],,+18016612846,(801) 661-2846,3446.740516012576,"[{'open': [{'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1200', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1500', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","Provo, UT",40.27108099906404,-111.6830737,1405 S State St,,,Orem,84097,US,UT,"['1405 S State St', 'Orem, UT 84097']",,https://handelsicecream.com/menu/,,
DbplkVJNXlaRpx6VCnaxhg,brooker-s-founding-flavors-ice-cream-vineyard,Brooker’s Founding Flavors Ice Cream,https://s3-media0.fl.yelpcdn.com/bphoto/LMg6SMHIOGSN_pvSEMDR9Q/o.jpg,False,https://www.yelp.com/biz/brooker-s-founding-flavors-ice-cream-vineyard?adjust_creative=6uPK8wjVDflLXcyfaLIKMA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6uPK8wjVDflLXcyfaLIKMA,321,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]",4.5,"['delivery', 'pickup']",$$,+18013008836,(801) 300-8836,9471.001475589184,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","Provo, UT",40.307401,-111.736541,568 N Mill Rd,Ste A 101,,Vineyard,84059,US,UT,"['568 N Mill Rd', 'Ste A 101', 'Vineyard, UT 84059']",,,,
d_VxIMOpU0W7YVnTQfkDiA,vinci-authentic-gelato-provo-2,Vinci Authentic Gelato,https://s3-media0.fl.yelpcdn.com/bphoto/2b4EkUQtE1XjYIBjcVzVzw/o.jpg,False,https://www.yelp.com/biz/vinci-authentic-gelato-provo-2?adjust_creative=6uPK8wjVDflLXcyfaLIKMA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6uPK8wjVDflLXcyfaLIKMA,35,"[{'alias': 'gelato', 'title': 'Gelato'}]",4.9,[],$$,,,527.1606964391815,"[{'open': [{'is_overnight': False, 'start': '1200', 'end': '2130', 'day': 0}, {'is_overnight': False, 'start': '1200', 'end': '2130', 'day': 1}, {'is_overnight': False, 'start': '1200', 'end': '2130', 'day': 2}, {'is_overnight': False, 'start': '1200', 'end': '2130', 'day': 3}, {'is_overnight': False, 'start': '1200', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '2300', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': True}]","Provo, UT",40.24022,-111.66192,490 N Freedom Blvd,,,Provo,84601,US,UT,"['490 N Freedom Blvd', 'Provo, UT 84601']",,,,
FOFih74UiuvqRLJuzA_X1w,fruiteria-provo,Fruiteria,https://s3-media0.fl.yelpcdn.com/bphoto/hztR3NOR15Tck6MGS-CIOw/o.jpg,False,https://www.yelp.com/biz/fruiteria-provo?adjust_creative=6uPK8wjVDflLXcyfaLIKMA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6uPK8wjVDflLXcyfaLIKMA,11,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'desserts', 'title': 'Desserts'}]",4.6,[],,+13853752965,(385) 375-2965,576.2670354378005,"[{'open': [{'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1200', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","Provo, UT",40.249924,-111.663243,239 Cougar Blvd,,,Provo,84604,US,UT,"['239 Cougar Blvd', 'Provo, UT 84604']",,,,
4fHv2xHse_N7ZQ_wqJAong,slurp-provo-3,Slurp,https://s3-media0.fl.yelpcdn.com/bphoto/eGMURers3sb1rozxtTqTnA/o.jpg,False,https://www.yelp.com/biz/slurp-provo-3?adjust_creative=6uPK8wjVDflLXcyfaLIKMA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6uPK8wjVDflLXcyfaLIKMA,32,"[{'alias': 'bubbletea', 'title': 'Bubble Tea'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]",4.7,[],,+18019801166,(801) 980-1166,910.0457499774011,"[{'open': [{'is_overnight': False, 'start': '1300', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '1300', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '1300', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '1300', 'end': '0000', 'day': 3}, {'is_overnight': False, 'start': '1300', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1300', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1300', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","Provo, UT",40.23694122899758,-111.6589443,235 N University Ave,,,Provo,84601,US,UT,"['235 N University Ave', 'Provo, UT 84601']",,https://slurputah.com/menu,,
3nnLuNlf-dlbgU0dWA7Jww,crispy-cones-provo,Crispy Cones,https://s3-media0.fl.yelpcdn.com/bphoto/GHXLAh85vj0WoAAlVhtYbg/o.jpg,False,https://www.yelp.com/biz/crispy-cones-provo?adjust_creative=6uPK8wjVDflLXcyfaLIKMA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6uPK8wjVDflLXcyfaLIKMA,55,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]",3.6,[],,+12089076269,(208) 907-6269,2355.3374545957186,"[{'open': [{'is_overnight': False, 'start': '1200', 'end': '2300', 'day': 0}, {'is_overnight': False, 'start': '1200', 'end': '2300', 'day': 1}, {'is_overnight': False, 'start': '1200', 'end': '2300', 'day': 2}, {'is_overnight': False, 'start': '1200', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1200', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1400', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]","Provo, UT",40.26538824781406,-111.6684654,428 W 2310 N,Ste B-102,,Provo,84604,US,UT,"['428 W 2310 N', 'Ste B-102', 'Provo, UT 84604']",,,,
1xQN0AvxEZi3tX_goUxUCQ,pinguinos-gelato-provo,Pinguino's Gelato,https://s3-media0.fl.yelpcdn.com/bphoto/GKuLR44D8lKwjbQ8Ah6XfA/o.jpg,False,https://www.yelp.com/biz/pinguinos-gelato-provo?adjust_creative=6uPK8wjVDflLXcyfaLIKMA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6uPK8wjVDflLXcyfaLIKMA,30,"[{'alias': 'gelato', 'title': 'Gelato'}, {'alias': 'catering', 'title': 'Caterers'}]",4.5,[],,+18019460080,(801) 946-0080,972.8751119607923,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2330', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2330', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': True}]","Provo, UT",40.236189160654384,-111.66081855672468,145 W 200th N,Ste 150,,Provo,84604,US,UT,"['145 W 200th N', 'Ste 150', 'Provo, UT 84604']",,,,
MTBbrdSWCYJkLCa4sjEKqg,taste117-provo,Taste117,https://s3-media0.fl.yelpcdn.com/bphoto/wtx4eEH3Y4itwwiM7YVbLg/o.jpg,False,https://www.yelp.com/biz/taste117-provo?adjust_creative=6uPK8wjVDflLXcyfaLIKMA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=6uPK8wjVDflLXcyfaLIKMA,194,"[{'alias': 'gourmet', 'title': 'Specialty Food'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'cheesetastingclasses', 'title': 'Cheese Tasting Classes'}]",4.5,"['delivery', 'pickup']",$$,+18019004061,(801) 900-4061,1074.1198288289731,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2030', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2030', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2030', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2030', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2030', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2030', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': True}]","Provo, UT",40.2354325354099,-111.65874928236,117 N University Ave,,,Provo,84601,US,UT,"['117 N University Ave', 'Provo, UT 84601']",,http://taste117.com/menu,,
