name,rating,review_count,price,categories,latitude,longitude,address,city_queried
Thrifthood,4.3,12,,Thrift Stores,40.23167,-111.66129,"160 S 100 W St Ste 1 Provo, UT 84601","Provo, UT"
Making Space Thrift,4.3,3,,"Thrift Stores, Fabric Stores",40.24011974428763,-111.66294206716066,"475 N Freedom Blvd Provo, UT 84601","Provo, UT"
Get Thrifty,3.4,8,,Thrift Stores,40.256653,-111.670738,"1700 N State Street Ste 20 Provo, UT 84604","Provo, UT"
Curveture,5.0,2,,"Plus Size Fashion, Thrift Stores, Women's Clothing",40.252912295236214,-111.66155982557032,"1394 N Freedom Blvd Provo, UT 84604","Provo, UT"
Preloved Provo,4.9,7,,"Thrift Stores, Men's Clothing, Women's Clothing",40.25089179451393,-111.662831,"230 Cougar Blvd Provo, UT 84604","Provo, UT"
Deseret Industries,3.0,22,$,Thrift Stores,40.252717518351226,-111.67017301573048,"1415 N State St Provo, UT 84604","Provo, UT"
Uptown Cheapskate - Orem,3.5,8,,Thrift Stores,40.2731971,-111.6848054,"394 E University Pkwy Orem, UT 84058","Provo, UT"
Thrift Rx,3.0,4,,"Used, Vintage & Consignment, Thrift Stores",40.2340311,-111.6595782,"46 W Center St Provo, UT 84606","Provo, UT"
Sad Boi Thrift,0.0,0,,Thrift Stores,40.2446827946,-111.64597491,"746 E 820 N St Fl 2 Ste 3 Provo, UT 84606","Provo, UT"
801 Thrift,0.0,0,,Thrift Stores,40.2340311,-111.65955479,"46 W Center St Ste 100 Provo, UT 84601","Provo, UT"
Savers,2.1,28,$$$$,"Thrift Stores, Donation Center",40.298958,-111.6959337,"81 N State St Orem, UT 84057","Provo, UT"
The Farmhouse Peddler,4.0,2,,"Thrift Stores, Used, Vintage & Consignment",40.292462833300725,-111.6940267511935,"280 S State St Ste A Orem, UT 84058","Provo, UT"
Sloppy Seconds Thrift,0.0,0,,Thrift Stores,40.2343263,-111.6582447,"50 N University Ave Provo, UT 84606","Provo, UT"
TrendyXchange,2.5,2,$,Thrift Stores,40.264016,-111.670308,"2255 N University Pkwy Provo, UT 84604","Provo, UT"
Utah County Liquidators,0.0,0,,"Auction Houses, Thrift Stores",40.288688,-111.72863,"1355 W 465th S Orem, UT 84058","Provo, UT"
About Anything,0.0,0,,"Antiques, Used, Vintage & Consignment, Thrift Stores",40.21970933645578,-111.660901,"1200 Towne Centre Blvd Ste 1054 Provo, UT 84601","Provo, UT"
Kid to Kid,3.8,5,,"Children's Clothing, Thrift Stores, Baby Gear & Furniture",40.2719001,-111.685147,"390 E University Pkwy Orem, UT 84058","Provo, UT"
Deseret Industries,3.5,26,$,Thrift Stores,40.3680588271431,-111.784219165242,"435 S 500th E American Fork, UT 84003","Orem, UT"
Hello Seconds,4.0,2,,"Used, Vintage & Consignment, Thrift Stores",40.334145,-111.749101,"1396 W 200 S St Bldg 1, Unit F Lindon, UT 84042","Orem, UT"
Indy Clover,4.0,6,,Thrift Stores,40.33472272782018,-111.7134433,"155 S State St Ste C Lindon, UT 84042","Orem, UT"
Deseret Industries Thrift Store & Donation Center,0.0,0,,"Thrift Stores, Donation Center",40.36793,-111.78454,"435 S 500 E St American Fork, UT 84003","Orem, UT"
Deseret Industries Thrift Store and Donation Center,4.2,5,,"Thrift Stores, Donation Center",40.38320573228649,-111.91834210728295,"104 West Medical Dr Ste 2 Saratoga Springs, UT 84045","Lehi, UT"
The Other Side Thrift Boutique,4.8,85,$,Thrift Stores,40.67862833234507,-111.88878606625671,"4290 S State St Murray, UT 84107","Lehi, UT"
Uptown Cheapskate,3.8,81,$,"Women's Clothing, Men's Clothing, Thrift Stores",40.3781437,-111.8142861,"62 N 600th W Ste F5 American Fork, UT 84003","Lehi, UT"
Savers,2.4,35,$$,"Thrift Stores, Donation Center",40.5273756,-111.8569816,"1166 Draper Pkwy Draper, UT 84020","Lehi, UT"
Preloved,3.8,4,,"Thrift Stores, Men's Clothing, Women's Clothing",40.361841,-111.96068,"4342 Pony Express Pkwy Eagle Mountain, UT 84005","Lehi, UT"
Goodwill Outlet,2.9,26,$,"Thrift Stores, Donation Center, Community Service/Non-Profit",40.738288943939985,-111.9420510665341,"1850 W 1500th S Salt Lake City, UT 84104","Lehi, UT"
Preloved Holladay,4.7,3,,Thrift Stores,40.6630665,-111.83898,"4878 Highland Dr Holladay, UT 84117","Lehi, UT"
Rooted Vintage,0.0,0,,"Thrift Stores, Nurseries & Gardening, Used, Vintage & Consignment",40.39706,-111.84684,"147 E State St Lehi, UT 84043","Lehi, UT"
The Other Side Thrift Boutique,4.8,58,,Thrift Stores,40.698614,-111.854425,"3320 S 1300 E Millcreek, UT 84106","Lehi, UT"
Calvary Thrift Store,4.6,30,$,Thrift Stores,40.608142,-111.968459,"3245 W 7800th S West Jordan, UT 84088","Lehi, UT"
Deseret Industries,3.4,14,,"Thrift Stores, Donation Center",40.524776,-111.9806875,"12449 S Creek Meadow Rd Riverton, UT 84065","Lehi, UT"
Christian Center,4.1,27,$,"Thrift Stores, Food Banks, Counseling & Mental Health",40.6572081019061,-111.503731848055,"1283 Deer Valley Dr Park City, UT 84060","Lehi, UT"
Goodwill Store,3.5,54,$,"Thrift Stores, Donation Center, Community Service/Non-Profit",40.673192,-111.865107,"4545 S 900th E Salt Lake City, UT 84117","Lehi, UT"
Deseret Industries Stores,3.6,54,$,Thrift Stores,40.7251153340192,-111.869652829639,"2140 South 800 E Salt Lake City, UT 84106","Lehi, UT"
Goodwill Store,2.6,5,,"Thrift Stores, Donation Center, Community Service/Non-Profit",40.6244761,-111.9392774,"6968 S Redwood Rd West Jordan, UT 84084","Lehi, UT"
53 Main Street Consignment & Gifts,0.0,0,,Thrift Stores,40.377125,-111.797104,"53 E Main St American Fork, UT 84003","Lehi, UT"
Blue Velvet Bunny,5.0,5,,"Thrift Stores, Used, Vintage & Consignment, Women's Clothing",40.76305,-111.87799,"451 E Broadway Ste 200 Salt Lake City, UT 84111","Lehi, UT"
Goodwill Store,3.0,1,,"Community Service/Non-Profit, Thrift Stores, Donation Center",40.59653246144332,-111.85499622842651,"8550 S 1300th E Sandy, UT 84094","Lehi, UT"
The Exchange on Main Consignment,3.5,36,,"Used, Vintage & Consignment, Thrift Stores",40.64576,-111.49725,"605 Main St Ste 202 Park City, UT 84060","Lehi, UT"
St Lawrence Thrift Store,3.8,9,$,"Furniture Stores, Women's Clothing, Thrift Stores",40.50692350667139,-111.4159908,"84 S 100th W Heber City, UT 84032","Lehi, UT"
